  0: Clicks =   0.5 (Half-Clicks=1)
  1: Clicks =   1.0 (Half-Clicks=2)
  2: Clicks =   1.5 (Half-Clicks=3)
  3: Clicks =   2.0 (Half-Clicks=4)
  4: Clicks =   2.5 (Half-Clicks=5)
  5: Clicks =   3.0 (Half-Clicks=6)
  6: Clicks =   3.5 (Half-Clicks=7)
  7: Clicks =   4.0 (Half-Clicks=8)
  8: Clicks =   4.5 (Half-Clicks=9)
  9: Clicks =   5.0 (Half-Clicks=10)
 10: Clicks =   5.5 (Half-Clicks=11)
 11: Clicks =   6.0 (Half-Clicks=12)
 12: Clicks =   6.5 (Half-Clicks=13)
 13: Clicks =   7.0 (Half-Clicks=14)
 14: Clicks =   7.5 (Half-Clicks=15)
 15: Clicks =   8.0 (Half-Clicks=16)
 16: Clicks =   8.5 (Half-Clicks=17)
 17: Clicks =   9.0 (Half-Clicks=18)
 18: Clicks =   9.5 (Half-Clicks=19)
 19: Clicks =  10.0 (Half-Clicks=20)
 20: Clicks =  10.5 (Half-Clicks=21)
 21: Clicks =  11.0 (Half-Clicks=22)
 22: Clicks =  11.5 (Half-Clicks=23)
 23: Clicks =  12.0 (Half-Clicks=24)
 24: Clicks =  12.5 (Half-Clicks=25)
 25: Clicks =  13.0 (Half-Clicks=26)
 26: Clicks =  13.5 (Half-Clicks=27)
 27: Clicks =  14.0 (Half-Clicks=28)
 28: Clicks =  14.5 (Half-Clicks=29)
 29: Clicks =  15.0 (Half-Clicks=30)
 30: Clicks =  15.5 (Half-Clicks=31)
 31: Clicks =  16.0 (Half-Clicks=32)
