0;1;2
1;$01;ESCAPE
2;$02;Number1
3;$03;Number2
4;$04;Number3
5;$05;Number4
6;$06;Number5
7;$07;Number6
8;$08;Number7
9;$09;Number8
10;$0A;Number9
11;$0B;Number0
12;$0C;Minus [ - ]
13;$0D;Equal [ = ]
14;$0E;BACK_SPACE
15;$0F;TAB
16;$10;KeyQ
17;$11;KeyW
18;$12;KeyE
19;$13;KeyR
20;$14;KeyT
21;$15;KeyY
22;$16;KeyU
23;$17;KeyI
24;$18;KeyO
25;$19;KeyP
26;$1A;Open Squared Bracket " [ "
27;$1B;Close Squared Bracket " ] "
28;$1C;ENTER
29;$1D;CTRL
30;$1E;KeyA
31;$1F;KeyS
32;$20;KeyD
33;$21;KeyF
34;$22;KeyG
35;$23;KeyH
36;$24;KeyJ
37;$25;KeyK
38;$26;KeyL
39;$27;Semicolon
40;$28;Apostrophe [ ' ]
41;$29;Grave Accent [ ` ]
42;$2A;SHIFT_Left
43;$2B;Slash [ \ ]
44;$2C;KeyZ
45;$2D;KeyX
46;$2E;KeyC
47;$2F;KeyV
48;$30;KeyB
49;$31;KeyN
50;$32;KeyM
51;$33;Comma [ , ]
52;$34;Dot [ . ]
53;$35;Backslash [ / ]
54;$36;SHIFT_Right
55;$37;Asterisk [ * ]
56;$38;ALT
57;$39;SPACE
58;$3A;CAPS_LOCK
59;$3B;F1
60;$3C;F2
61;$3D;F3
62;$3E;F4
63;$3F;F5
64;$40;F6
65;$41;F7
66;$42;F8
67;$43;F9
68;$44;F10
69;$45;NUM_LOCK
70;$46;SCROLL_LOCK
71;$47;HOME_PAD7
72;$48;UP_ARROW_PAD8
73;$49;PAGE_UP_PAD_9
74;$4A;PAD_MINUS
75;$4B;LEFT_ARROW_PAD4
76;$4C;PAD_5
77;$4D;RIGHT_ARROW_PAD6
78;$4E;PAD_PLUS
79;$4F;END_PAD1
80;$50;DOWN_ARROW_PAD2
81;$51;PAGE_DOWN_PAD3
82;$52;INS_PAD0
83;$53;DEL_PAD_POINT
87;$57;F11
88;$58;F12
