  1:    1 seconds
  2:    2 seconds
  3:    3 seconds
  4:    4 seconds
  5:    5 seconds
  6:    6 seconds
  7:    7 seconds
  8:    8 seconds
  9:    9 seconds
 10:   10 seconds
 11:   11 seconds
 12:   12 seconds
 13:   13 seconds
 14:   14 seconds
 15:   15 seconds
 16:   16 seconds
 17:   17 seconds
 18:   18 seconds
 19:   19 seconds
 20:   20 seconds
 21:   21 seconds
 22:   22 seconds
 23:   23 seconds
 24:   24 seconds
 25:   25 seconds
 26:   26 seconds
 27:   27 seconds
 28:   28 seconds
 29:   29 seconds
 30:   30 seconds
  0: Forever (use other action/effect to disable it)
 31: Perform one single time
