 0: Clicks =   0.0 (Half-Clicks=0)
  1: Clicks =   0.5 (Half-Clicks=1)
  2: Clicks =   1.0 (Half-Clicks=2)
  3: Clicks =   1.5 (Half-Clicks=3)
  4: Clicks =   2.0 (Half-Clicks=4)
  5: Clicks =   2.5 (Half-Clicks=5)
  6: Clicks =   3.0 (Half-Clicks=6)
  7: Clicks =   3.5 (Half-Clicks=7)
  8: Clicks =   4.0 (Half-Clicks=8)
  9: Clicks =   4.5 (Half-Clicks=9)
 10: Clicks =   5.0 (Half-Clicks=10)
 11: Clicks =   5.5 (Half-Clicks=11)
 12: Clicks =   6.0 (Half-Clicks=12)
 13: Clicks =   6.5 (Half-Clicks=13)
 14: Clicks =   7.0 (Half-Clicks=14)
 15: Clicks =   7.5 (Half-Clicks=15)
 16: Clicks =   8.0 (Half-Clicks=16)
 17: Clicks =   8.5 (Half-Clicks=17)
 18: Clicks =   9.0 (Half-Clicks=18)
 19: Clicks =   9.5 (Half-Clicks=19)
 20: Clicks =  10.0 (Half-Clicks=20)
 21: Clicks =  10.5 (Half-Clicks=21)
 22: Clicks =  11.0 (Half-Clicks=22)
 23: Clicks =  11.5 (Half-Clicks=23)
 24: Clicks =  12.0 (Half-Clicks=24)
 25: Clicks =  12.5 (Half-Clicks=25)
 26: Clicks =  13.0 (Half-Clicks=26)
 27: Clicks =  13.5 (Half-Clicks=27)
 28: Clicks =  14.0 (Half-Clicks=28)
 29: Clicks =  14.5 (Half-Clicks=29)
 30: Clicks =  15.0 (Half-Clicks=30)
 31: Clicks =  15.5 (Half-Clicks=31)
 32: Clicks =  16.0 (Half-Clicks=32)
 33: Clicks =  16.5 (Half-Clicks=33)
 34: Clicks =  17.0 (Half-Clicks=34)
 35: Clicks =  17.5 (Half-Clicks=35)
 36: Clicks =  18.0 (Half-Clicks=36)
 37: Clicks =  18.5 (Half-Clicks=37)
 38: Clicks =  19.0 (Half-Clicks=38)
 39: Clicks =  19.5 (Half-Clicks=39)
 40: Clicks =  20.0 (Half-Clicks=40)
 41: Clicks =  20.5 (Half-Clicks=41)
 42: Clicks =  21.0 (Half-Clicks=42)
 43: Clicks =  21.5 (Half-Clicks=43)
 44: Clicks =  22.0 (Half-Clicks=44)
 45: Clicks =  22.5 (Half-Clicks=45)
 46: Clicks =  23.0 (Half-Clicks=46)
 47: Clicks =  23.5 (Half-Clicks=47)
 48: Clicks =  24.0 (Half-Clicks=48)
 49: Clicks =  24.5 (Half-Clicks=49)
 50: Clicks =  25.0 (Half-Clicks=50)
 51: Clicks =  25.5 (Half-Clicks=51)
 52: Clicks =  26.0 (Half-Clicks=52)
 53: Clicks =  26.5 (Half-Clicks=53)
 54: Clicks =  27.0 (Half-Clicks=54)
 55: Clicks =  27.5 (Half-Clicks=55)
 56: Clicks =  28.0 (Half-Clicks=56)
 57: Clicks =  28.5 (Half-Clicks=57)
 58: Clicks =  29.0 (Half-Clicks=58)
 59: Clicks =  29.5 (Half-Clicks=59)
 60: Clicks =  30.0 (Half-Clicks=60)
 61: Clicks =  30.5 (Half-Clicks=61)
 62: Clicks =  31.0 (Half-Clicks=62)
 63: Clicks =  31.5 (Half-Clicks=63)
 64: Clicks =  32.0 (Half-Clicks=64)
 65: Clicks =  32.5 (Half-Clicks=65)
 66: Clicks =  33.0 (Half-Clicks=66)
 67: Clicks =  33.5 (Half-Clicks=67)
 68: Clicks =  34.0 (Half-Clicks=68)
 69: Clicks =  34.5 (Half-Clicks=69)
 70: Clicks =  35.0 (Half-Clicks=70)
 71: Clicks =  35.5 (Half-Clicks=71)
 72: Clicks =  36.0 (Half-Clicks=72)
 73: Clicks =  36.5 (Half-Clicks=73)
 74: Clicks =  37.0 (Half-Clicks=74)
 75: Clicks =  37.5 (Half-Clicks=75)
 76: Clicks =  38.0 (Half-Clicks=76)
 77: Clicks =  38.5 (Half-Clicks=77)
 78: Clicks =  39.0 (Half-Clicks=78)
 79: Clicks =  39.5 (Half-Clicks=79)
 80: Clicks =  40.0 (Half-Clicks=80)
 81: Clicks =  40.5 (Half-Clicks=81)
 82: Clicks =  41.0 (Half-Clicks=82)
 83: Clicks =  41.5 (Half-Clicks=83)
 84: Clicks =  42.0 (Half-Clicks=84)
 85: Clicks =  42.5 (Half-Clicks=85)
 86: Clicks =  43.0 (Half-Clicks=86)
 87: Clicks =  43.5 (Half-Clicks=87)
 88: Clicks =  44.0 (Half-Clicks=88)
 89: Clicks =  44.5 (Half-Clicks=89)
 90: Clicks =  45.0 (Half-Clicks=90)
 91: Clicks =  45.5 (Half-Clicks=91)
 92: Clicks =  46.0 (Half-Clicks=92)
 93: Clicks =  46.5 (Half-Clicks=93)
 94: Clicks =  47.0 (Half-Clicks=94)
 95: Clicks =  47.5 (Half-Clicks=95)
 96: Clicks =  48.0 (Half-Clicks=96)
 97: Clicks =  48.5 (Half-Clicks=97)
 98: Clicks =  49.0 (Half-Clicks=98)
 99: Clicks =  49.5 (Half-Clicks=99)
100: Clicks =  50.0 (Half-Clicks=100)
101: Clicks =  50.5 (Half-Clicks=101)
102: Clicks =  51.0 (Half-Clicks=102)
103: Clicks =  51.5 (Half-Clicks=103)
104: Clicks =  52.0 (Half-Clicks=104)
105: Clicks =  52.5 (Half-Clicks=105)
106: Clicks =  53.0 (Half-Clicks=106)
107: Clicks =  53.5 (Half-Clicks=107)
108: Clicks =  54.0 (Half-Clicks=108)
109: Clicks =  54.5 (Half-Clicks=109)
110: Clicks =  55.0 (Half-Clicks=110)
111: Clicks =  55.5 (Half-Clicks=111)
112: Clicks =  56.0 (Half-Clicks=112)
113: Clicks =  56.5 (Half-Clicks=113)
114: Clicks =  57.0 (Half-Clicks=114)
115: Clicks =  57.5 (Half-Clicks=115)
116: Clicks =  58.0 (Half-Clicks=116)
117: Clicks =  58.5 (Half-Clicks=117)
118: Clicks =  59.0 (Half-Clicks=118)
119: Clicks =  59.5 (Half-Clicks=119)
120: Clicks =  60.0 (Half-Clicks=120)
121: Clicks =  60.5 (Half-Clicks=121)
